reviews.text,reviews.rating,reviews.doRecommend
purchased kindle fire needed entertainment device long flights device perfect size travel easy use set amazon account worth purchasing fire tablet amazon prime member would recommend available apps limited complaint device freezes difficult reset,4.0,True
fire tablet long battery life reasonable fast,4.0,True
got wife loves previous generation one giant keep forward,4.0,True
sleek packaging easy set great anyone wants e reader offer,5.0,True
best affordable option kindle devices available,5.0,True
want get new kindle old one would charge show charge anymore could depend length time finally broke bought new one happy one afraid would lose music photos since came amazon store however everything old kindle transferred new one still learning far good,5.0,True
daughter likes tablet play online games,5.0,True
easy figure used extensively vacation,4.0,True
excellent tablet leave easel display reference photos light enough velcro articulating stand position tablet right next canvas cheap enough worry love price,5.0,True
bought wanting books comics movies disappoint ever since,5.0,True
year old grandson loves kindle one sister got one,5.0,True
easy use beginner found pad good enjoy kindle app,5.0,True
kindle need camera could better overall pretty happy purchase,4.0,True
purchased daughter reading much options wants,5.0,True
great tablet price kid loves alot reading,5.0,True
really hoping would faster inexspensive tablets ive mainly use email though job,4.0,True
bought christmas gift someone bought ipad well update used,4.0,True
great tablet price easy navigate,5.0,True
believe useful husbands recovery foot surgery,5.0,True
something useful looking something take along trips,4.0,True
wonderful device love extra capabilities apps,5.0,True
decent tablet access kindle pretty much google apps,4.0,True
happy tablet worst thing steals time lol,5.0,True
family member vision problems seenused kindle another family member especially ability scale text device make possible read extreme difficulty,5.0,True
easy setup connect wifi great viewing area easy read bright places,5.0,True
got fire friend wants buy kindlethis serves kindle tab nice cheapworth paid highly recommend beginners,5.0,True
really enjoyed price value tablet versus ipad,5.0,True
amazing tablet fast processor looks great got good deal,5.0,True
got year old really great price works like charm,5.0,True
find easy use kindle come instructions find way around,5.0,True
bought tired watching youtube twitch phone excellent display sound decentnot great always buy speaker negatives areit definitely fingerprint magnet spectrum tv app awfulthe app works fine phone reason tablet freezes unusable things considered bucks hard beat,4.0,True
love tablet battery life last long time use amazon kindle fire predominately watching movies amazon prime netflixs checking emails also carry appointments meetings compact tablet big bulky playback movies great movies hd great little tablet looking something watch movies checking emails would definitely recommend tablet friends family members,5.0,True
daughter loves kindle much itwell worth money,5.0,True
looking tablet highly portable could run directtv app stream videos electronics much older versions salesman recommended model based personal experience still learning functions far seems easy use promised,5.0,True
second fire one retired like hd works fine,5.0,True
wife bought birthday enjoy reading biographys usually color photos regular kindle make pics black white theyre arent allows see color photos also love night feature im bed reading longer need light read need hold large book,5.0,True
thanks knowledgeable lowpressure salesperson ready buy first tablet one right price sale disappointed every days learn ways use besides checking emails checking library books audio books stays charged days even regular use recommend inexpensive satisfactory alternative expensive tablets,5.0,True
great tablet price dont expect fast expensive ones meant casual use great job price cant beat get nice large microsd card dont worry space runs little slow certain things multitasking simple tablet ive run plenty p videos without fail great ebooks files elaborate pdfs take load lol graphics battery life seems good small table toothe real issue amazon app store limited offshoot android apps available way around wish would allow access google play least offer appsso nice inexpensive table works great money love dont get upset doesnt run fast tablet thats job,5.0,True
bought yr old granddaughter everything wants tablet,4.0,True
easy use tablet lots apps game available,5.0,True
love freetime settings kids newer kindle fires able create login kids well set limits amount device time allowed daily set weekends desired set age restrictions content also avoid inappropriate ads etc youve downloaded apps choose ones want child access profile settings one child older allow access something younger siblings shouldnt basically like set access rights know theyre safe dont continually monitor every moment way freetime kids settings available without subscribe freetime app access plan,5.0,True
great tablet clear picture would buy,5.0,True
good reader bought ads annoying,4.0,True
mini computer packed handheld devise applications load quickly able get work completed riding commuter rail,4.0,True
nice smaller tablet good internet surfing,4.0,True
purchased door prize gift given one year amazon membership recipient loves says performs well past amazon fire user ipad graduate loved amazon fire years without problems fact recycled son runs like champ,5.0,True
kinds tables best listen music read book listen book watch moviestv shows,5.0,True
great product kids gaming apps parental controls make sure monitor kids prevent unwanted app purchases,5.0,True
purchased tablets year old black friday special perfect apps games wanted,5.0,True
great product love amazon ecosystem freetime subscription must,5.0,True
needed something bit larger stream netflix perfect,5.0,True
husband bought christmas present couldnt understand bought already kindle fireonce opened got going loved could plus graphic much colorful older kindle,5.0,True
grandsonloves games books,5.0,True
great product im satisfied recommend people,4.0,True
purchased tablet niece christmas love,4.0,True
easy use responds quickly great screen brightness,5.0,True
great tablet apps limited comparison tablets,4.0,True
works thought problems good buying experience,5.0,True
smaller one great one even better size,4.0,True
prime member love tablet user friendly especially prime member amazon real tech savvy need help get keep things simple automatic great clarity picturedata tablet wasnt sure downgrading size old eyes delighted see works fine instead also easier take around smaller size highly recommend especially subscribe amazon prime member great benefits,5.0,True
got wife loves bigger screen better app management features one earlier generation kindle definitely worth,5.0,True
connects home wifi automatically many books many games actually functions like computer tablet email breeze,5.0,True
bought replace noname budget tablet daughter loves much faster better display old tablet wonderful value faster better display sound name brand cost whats love product,5.0,True
loves tablet works well unlike bargain tablet tried use previously cost likes sound also enjoys free games downloaded navigates wev easily,5.0,True
ipad great netflix app games im worried kids getting paws since relatively inexpensive,4.0,True
didnt features looking returned next day may good others,2.0,True
bought daughter loves speedy loading books,5.0,True
purchased wife reads lot truly enjoys amazon fire,4.0,True
great christmas gift kids love gifts,4.0,True
daughter got present easy set display great features allow us limit time games web etc allowing unlimited time read,5.0,True
enjoyed learning use youre never old learn new things,5.0,True
bought husband surprised work needs,5.0,True
birthday present ideal traveler read ebooks rood,5.0,True
teenage daughter enjoyed three year old kindle recreation wanted larger screen word processing paired bluetooth keyboard thrilled,5.0,True
bought around black friday hoping would awesome failed hard tried multiple different micro sd cards none recognized yes formated every format could think fat ntfs fat xfat even tried tablet didnt work make matters worse half apps wanted use werent app store came find isnt linked normal google play store tablet app store missing many common apps main reason bought play clash clans cant wasnt app store tried also use aftermarket play stores play coc didnt work launched played time didnt work update needless say returned bought samsung galaxy tab version spen wayyyyy better bottom line get pay also hint spen version extra gb ram non pen version get afford extra,1.0,False
people purchased christmas holiday loved,5.0,True
purchased two kids ages forget ipod touch price tablet cant beat download games books movies free included amazon prime membership awesome,5.0,True
kids enjoy fire hd love picture quality,5.0,True
bought two tablets nieces christmas originally bought amazon fire inch virus days purchase unable work good thing played prior giving gift said surprised well tablet held careful years olds playing daily problems screen big enough little hands maneuver see highlight christmas still would definitely recommend,4.0,True
really like updates product comparison first one,5.0,True
functionality ease use outstanding right box super clear screen weight minimum joy use,5.0,True
tablet great kids adults little knowledge computers handles easily plenty storage,5.0,True
god sister using yearswhat read,5.0,True
latest amazon hd tablet good tablet price updated processor extra memory expansion slot allow good performance use tablet netflix hulu browsing internet emails work smoothly would recommend anyone looking cost effective tablet,5.0,True
totally worth money apps use daily basis,5.0,True
good tablet wife loves would recommend,5.0,True
use mine mainly bigger screen things phonebut love big screen bought one eaxh nieces love theres making videosplaying musicreading books bith love im happy got us always reccomend friends kids,5.0,True
amazon fire hd great product price picked holiday shopping season replacing st gen samsung tab thing sooo much faster perfect size reading kindle books emails social media thing,5.0,True
good gift price many features options,4.0,True
fancy ipad fraction cost works well android system apps like android phones cant beat price,4.0,True
kids play read watch movies much love,5.0,True
great tablet reading books bluetooth hard get working much better tablets games movies,4.0,True
love kindle biased think however previous ones prefer kindles tablet,5.0,True
great tablet kids love time tablet restricted,4.0,True
easy use good size great ereader expensive worry kids using,4.0,True
tablet purchased grandmother could play games read books,5.0,True
bought christmas gifts everyone happy great device low price great quality always fire devices,5.0,True
purchased item husband liked reading kindle books features like silk etc light little tablet good features,4.0,True
bought year end holiday party raffle prize pool great price people always use amazon tablet came kaspersky free well pretty generous complimentary add,5.0,True
yr old daughter got tablet santa christmas far loves little much perhaps use manage accountpermissions far havent issues software hw quite refined apple ipad products expect lower price point,4.0,True
opinion good option cost great apple ipad costs much less still get good use,4.0,True
many educational apps would definitely go settings youre mother like strict children watch tv games apps download would definitely recommend setting parental controls giving personal opinion mother feel helps setting restrictionscontent helps keep mind away gutter bcuz apps internet websites inappropriate sites children watching cant control put internet control children watch download stay occupied educational apps read books apps free also recommend putting payment method option kids loved,5.0,True
hd feature sold product along fact lotmore streamline older version,4.0,True
nice light internet browsing keeping top email viewing videos reading e books like get free library good browser good battery power fast charge relaxing sit comfy chair read browse given hours enjoyment information minimal price,5.0,True
bought wife replace old kindle loves much easier read ipad updated features make great purchase,5.0,True
great tablet price ordering online easy happy took long receive though,5.0,True
best tablet good price nice looking ordering line easy,5.0,True
got mom christmas every time visit shows something else im jealous hope get one,5.0,True
fourth kindleupgrading time mine goes everywhere used throughout day wouldnt without,5.0,True
bought son went college able upload books documents,5.0,True
purchased motherinlaw loves easier use understand,5.0,True
amazon fire amazing picture clarity sound excellent highly recommend tablet love,5.0,True
sharp picture easy use fantastic price,5.0,True
like great bought friend pleased abount,4.0,True
wanted low cost quality tablet one dream easy navigate excellent graphics,4.0,True
great tablet everyone plenty memory downloading great features around,5.0,True
two nook tablets another kindle samsung best one yet excellent battery life lets check emails web kindle books switched reads listens also works better nook audiobooks,5.0,True
bought tablet year old daughter many advertisements would rather pay single ad,1.0,False
step son using said well easy use,5.0,True
good tablet kids starting,4.0,True
bought year old perfect faster clearer older versions,5.0,True
awesome good size large enough games photos,5.0,True
great gift easy use loves able take anywhere,5.0,True
bought replace inch version lost airport wanted bigger screen higher resolutions much loading games offline mode well videos downloaded amazon prime play plane wifi available plus updated netflix app allows thing plenty videos also play mp videos using vlc player load microsd card course wifi bluetooth great surfing try net listening music screen perfect lying bed watching show highly recommend,5.0,True
intuitive user interface rapid online access well designed features light weight ergonomic buttons volume power overall thoroughly well designed excellent priced device web browsing social media,5.0,True
purchased store credit like lot compares well expensive tabletsrecommended,4.0,True
great device price good looking screen quick efficient amazon app store isnt bad either,5.0,True
great gift age wish bought two everything ipad,5.0,True
great budget tablet web browsing also useful mp player ebook reader,4.0,True
got yr old twins yr old one one better perfect way get read,5.0,True
superb tablet price doesnt come android operating system amazons operating system battery last good long time apps run fast would recommend anyone wants tablet,5.0,True
daughter love new tablet use days pretty good,5.0,True
happy new kindle highly recommend product,5.0,True
may cheap great tablet works awesome,5.0,True
wife absolutely loves tablet wad early christmas present,5.0,True
bought year old son absolutely loves,5.0,True
bought christmas gift son easy use,5.0,True
product handy go check emails find work truck,4.0,True
amazon fan ive amazon tablets cant compare brand amazon great customer service lot great apps hd great tablet watching movies games social media good kindle fire hdx speakers arent good hdx surround sound hd less expensive place sims card extra space ok front rear facing camera overall great tablet great price,5.0,True
previously bought older model tablets children wasnt happy tablet great child safety features like wether would like surf web even limiting amount hours child use good tablet kids use mostly netflix hulu even though isnt tube app alternate apps acces tube,5.0,True
got tablet black friday wow gigs great screen expandable memory deal tablet must amazon prime members unlocks door great prime perks books shows shopping pairs alexa great screen books buy already,5.0,True
bought black friday value money tablet lags heavy tasks also apps reloaded apps opened time price expected go budget,4.0,True
overall good tablet best prime amazon ability watch amazon video good price good tablet limitations based operating system video watching basic use good choice,4.0,True
love size portability keeps touch fun,5.0,True
nice tablet couldnt beat black friday price,5.0,True
im sorry didnt buy sooner easy use love,5.0,True
feels bit rugged original fire tablet believe excellent value,5.0,True
good tablet basic needs screens resolution pretty good mostly using reading sometimes watching moviesshows great feature possibility use card expand memory good product great price,4.0,True
bought gift yr old mom stalk kids grandkids fb mastered fewminutes minimal instruction watch posts,4.0,True
cheaper price kindle love tablet,5.0,True
smaller version love bigger screen use product computer,5.0,True
bought kindles grandsons love charged set right away issues point,5.0,True
easy use bought year old found case allows keep safe,4.0,True
great inches tablet amazing storage apps,4.0,True
santa dropped th grader along expanded memory uses netflix youtube well minecraft apps spend hundreds something basic kids needs im sure last years well worth price,5.0,True
got tablet year old son put much many learning games love product,5.0,True
tablet runs smooth amazon apps internet runs steady frame rate decent sized screen,4.0,True
good device entertainment entry level tasks think lot price,5.0,True
nice price new model alexa built expandable storage,5.0,True
enjoyed new kindlehowever extremely disappointed hdmi port like old version,4.0,True
product really awesome kids play sortswe use strong case let kids play,4.0,True
like features easy navigate,4.0,True
perfect kids school work fun well,4.0,True
great gift dad clear picture easy set,5.0,True
love kindle works better expected kindle much faster old tablet,5.0,True
never owned tablet wanted ipad like couldnt afford sticker price one fit needs perfect mainly use web surfing streaming video complaints far would recommend device,5.0,True
also great listening music also movies,5.0,True
screen picture crisp bright use tablet many things,5.0,True
small powerful great adult toy reader,5.0,True
purchased christmas present aunt lives us price thought would good option since doesnt want drop cash ipadfor comparison closest thing insignia tablet similar screen resolution storage features released time fire tablet impresses responsive existing android tablet havethis tablet runs fireos amazons customized version android typically like custom android preferring close vanilla system possible bothered fire need parental controls second none amazon app store extensive although extensive google play store still able find pretty much everything need therethis flagship device performs incredibly price likely purchasing one soon,5.0,True
hoping use google launcher tablet really locked cannot change launcher lock screen still cheap fine watching movies,3.0,False
great tablet reading also surfacing web along favorite social media apps,5.0,True
price low amazon uses adds subsidize price actual tablet works well biggest negative install apps amazon store many android apps available google store available amazon storei primarily use tablet bible gateway dish anywhere play games read newspaper facebook future want try use local library,4.0,True
screen clear battery last long time good substitute afford ipad,4.0,True
tablet works fine responsive good resolution tied amazon requires many hoops get apps zinio work amazon loosens grip recommend good price,3.0,False
great value money save instead ipad apple,5.0,True
fun reliable good quality money easy use,4.0,True
great reading nice image easy eyes lightweight,5.0,True
bought year old daughter christmas loves great alternative pricey ipad mini uses watching netflix youtube use homeschool happy purchase,5.0,True
got tablet sale wife loves,5.0,True
far good kindle fire hd still need play see maximize use,4.0,True
love kindle fire purchase older couple easy work,5.0,True
amazon fire great tablet awesome graphics use mainly surfing web issues,5.0,True
purchased nephew christmas used everyday good product screen size perfect,4.0,True
great tablet price granddaughter loves user friendly,5.0,True
got nieces aged loved parents really keeps occupied,5.0,True
gift mom enjoys easy use good picture sound quality price also great,5.0,True
wanting bigger screen trying get use different applications far seems easy,4.0,True
amazon fire simply amazing would buy anything else,5.0,True
didnt want go sites amazon wanted,1.0,False
bought three daughters got kid proof case added free time low monthly fee couldnt happier much better worrying breaking phone ipad,5.0,True
love kindle wont without one ive even bought extra one case believe best tablet market,5.0,True
bought one replace smaller non hd version lot faster picture noticeably better would recommend anyone wanting spend extra big names,4.0,True
could asked better tablet money wasnt looking anything extreme wanted look nice job games browsing well gave son christmas want one going buy another mother law lightweight simple layout snappy cant go wrong,5.0,True
perfect gift godson loved definitely would recommend product,5.0,True
lot things kindle used rely computer,5.0,True
excellent resource children video streaming wifi using mobile hotspot kids,5.0,True
kindle fire tablets great price solid performance battery life processing power downside operating system different variation android could incompatibilities,4.0,True
best choice marketamazon best,4.0,False
really didnt expect going workbut goodgifted friend,4.0,True
bought gift mom replace original kindle fire shes month loving problems,5.0,True
request yr old granddaugter always asked older sister could share due bought tabletsize yrs earlier loved securityparental control optionsstarfall favorite educational app told must really enjoy picsviber due different state also games time limit size resolution perfect,5.0,True
best device found ebooks know used lot library hand,4.0,True
bought tablet pretty much exclusively ereader actually cheaper kindles limited use works fine dont think would want use general purpose table slow makes fine ereader though recommending friend would would make sure knew use,4.0,True
bought christmas present sister loves easy use lightweight doesnt seem lot bugs glitches good source entertainment shes work downtime passes time reading ebooks browsing web playing games,5.0,True
originally purchased kindle paperwhite returned next day purchased one easy read watch movies listen music,5.0,True
works well easy use battery seems good would buy,4.0,True
ticks boxes looking price happy pay one caveat best buy geek squad crews unaware glitch keyboard prevents working properly kindleamazon aware glitch download thirdparty keyboard fix replace keyboard thats built unit able fix problem made geek squad aware know,4.0,True
amazon mayday functionality available unexpected services functionality expected,4.0,True
perfect tablet take anywhere go lighter ipad,5.0,True
easy use tablet every day use additional apps help increase productivity work daily use,5.0,True
tablet need tablet reason rd one,5.0,True
bought tablet fiancée daughter getting home set decided keep great screen works great pair amazon echos love highly recommend,5.0,True
first amazon ereadertablet second ereader easy use get initial hoops like free games fact new load books computer tablet one thing market tablet bigger ereader lot better nook love product,5.0,True
bought gift parents arent tech savy able use ease,4.0,True
bought several versions tablet kids years ever impressed first got one son oldest daughter replace childrens tablet worthless tablet gives everything could want allows control kids access even lets see download onto want set time shuts night play games use netflixs cangreat product,5.0,True
great gift younger person wants tablet,5.0,True
fire great size really nice big clarity really good,5.0,True
inexpensive tablet everything want read books magazines keeps tabs kids grandkids facebook easy use crystal clear pictures video,5.0,True
great entry level tablet kids anyone heavily using tablet gb small add sd card beware comes gb apps comes bunch preloaded amazon apps,5.0,True
tablet great loved color features buying daughters great purchase,5.0,True
expected better budget tablet ata good price bought integration alexa works well info alexa request show automatically tablet,4.0,True
excellent tablet kid downloaded games watch cartoons,5.0,True
looking good tablet deliveredgetting used amazon apps lol,5.0,True
excellent ratio quality price lightweight good resolution easy use,5.0,True
long review decided buy fire tablet gift great frienday loves perfect size features looking tablet happy birthday,5.0,True
love everything kindle im longterm amazon prime member,5.0,True
great tablet price father law likes easy use tablet,4.0,True
fire excellent table many basic tasks,5.0,True
good product short battery life use minutes,2.0,False
looking something read fit bill right pricegreat screen clarity good adjustment works well battery life great size nice big enough hand needed,5.0,True
great tablet books games web browsing user friendly would definitely recommend product,5.0,True
enjoy use reader like idea go internet kindle,5.0,True
thought tablet junk surpassed expectations,5.0,True
wasnt really expecting much however pleasantly surprisedit feels solid responsive screen goodfor price bargain,5.0,True
good want something inexpensive minimum well,4.0,True
like ipads baby toospecial super ok thanks byee,5.0,True
found versatile enjoyable benefiting touch screen,5.0,True
ipad killer fierce tablet convinient price,5.0,True
bought gift loves kinds apps easy use even easyer amazon prime,4.0,True
bought display echo turning voicecast routes information tablet voice reaponse exactly hoped would price right,4.0,True
tablet exactly looking take trips kids watch movies videos read kindle library perfect size,5.0,True
bought gift son know love old kindle fire likes lot,5.0,True
mom old one excited get one,5.0,True
works great fast great reading internet use,5.0,True
kindle overloaded apps never use despite one best buys associates said cannot remove amazon apps apps take much memory pad love bought backup work unfortunately bogs also dont like amazon wants access much info set email wont use emails either likely sell craigs list less half paid,1.0,False
fine reading havent used anything else yet,3.0,True
using kindle fire couple years good tablet screen went black best buy replaced couldnt pleased enjoy reading kindle fire hd ever try youll buy,5.0,True
viable substitute expensive pad especially kids wanting tablet download books games email access internet parental controls easily enabled,5.0,True
blueray twhat looking great watching movies thank,5.0,True
love best buy shop best buy always buy tv kids buy kids tablets best buy love best buy,5.0,True
got mom birthday absolutely loves great tablet price point good tablet overall,5.0,True
love would recommend going best buy buying kindle fire sold,5.0,True
nice size screen easy light weight take class,4.0,True
tablet great son would nice little horsepower,4.0,True
year old mom loves something waiting doctors offices loves read crosswords etc,5.0,True
enjoy ipad replacing easy read light size perfect travel,4.0,True
absolutely love kindle great picture storage sound cant live without kindle,5.0,True
liked first except browser kind clunky also use android apps worst thing though mine stopped working middle watching movie long plane flight fully charged tried recharging turning etc blank screen kind cool paperweight hope get money back get new one,1.0,False
love mine works great prime best movies,5.0,True
bought dad late mainly listen music read ebooks borrowed library set loves dont like ads start unless pay get rid,4.0,True
enjoy reading books well viewing videos,4.0,True
got two moms love many great features,5.0,True
tablet awesome fact use micro sd card memory listen content card great additional screen size wanted disappointed great purchase,5.0,True
im happy kindle fire beyond able read books sorts things able download huge variety apps also holds charge long size perfect portable yet screen much larger smartphone love would definitely recommend tablet others,5.0,True
amazon fire hd awesome device price tablet mind boggling tablet everything would expect want tablet amazon store amazon prime preloaded much fun easy use performance tablet unbelievable never stop thinking modest price paid fantastic tablet feels comfortable hands design nice size adequate tablet use expand memory storage device additional gb believe outstanding,5.0,True
bought christmas present son uses watch youtube netflick works great,5.0,True
overall design makes fir nice hand easy setup features utilize previous fire tablets like camera blue shade ability like read bed color really help wind long lasting battery,4.0,True
got fire tablet youngest daughter christmas loves also love option restrict apps content age,5.0,True
bought two amazon fire hd tablets december christmas gifts recipients happy gifts plan purchase one near future,5.0,True
biting gift concern size amazon interface easy enough download google play store familiar user size initial concern right watch movies without cumbersome,5.0,True
son really likes larger screen play games,5.0,True
easy use much offer low price,5.0,True
great product easy use love lighted pad ease loading books,5.0,True
using christmas morning didnt take long getting best tablets,5.0,True
think would rated stars however got tablet home year old used total hrsthe next day reboot screen similar dos windows excellent customer service store allowed exchange next day problems second one great tablet price,4.0,True
love amazon nice read book play games,5.0,True
bought kindle gift mother could access facebook account easily loves ease using kindle tablets home used daily mother uses email light gaming watching netflix well satisfied,5.0,True
wanted low cost internet device feed internet radio choices stereo fit bill well use headphone jack connect stereo get great sound dont use apps come device,5.0,True
kindle fire wonderful small device use multitude tasks use mostly ereader simple use happy chose one lightweight convenient take,5.0,True
bought temporary replacement wifes kindle fire hd service liked model much continued using one returned,5.0,True
tested item gave gift simple enough needs browsing social media entertainment definitely best price simple needs compared spending ipad,4.0,True
feels like affordable tablet best class isnt priced either works well happy purchase,4.0,True
great watching sports events away home within wi fi range,4.0,True
easy download read enjoy reading take anywhere without heaviness book,5.0,True
bought subscribing amazon prime membership great little tablet low price good deal pass sale ability talk alexa surf web listen music read booksmagazines lots free music books prime members,5.0,True
ads dont bother may decent device purchased kid loaded much spam kept loading making slow laggy plus carrasoul loadout makes hard navigate kids kid friendly oh pay remove ads wont remove buy samsung better everything,1.0,False
second fire im upgrading nd generation model love screen resolution movies videos sharp pixelating camera bonus first version together great buy sale thank best buy,5.0,True
would buy twice already actually bought kids fire kindle bought wife lost borrowed sons kid fire kindle ended buying would buy would recommend buying sd card fills fast without lot cheaper buy lower gb kindle buy good sd card,4.0,True
tablet amazon offers tons free apps hundreds thousands free ebooks tons free games tablet intuitive intelligent seamlessly enjoy streaming favorite shows reading articles books periodicals love tablet doesnt place apps device uses users miro sd card instead gb additional storage dizzying amount storage games apps books movies downloaded enjoyed also allows owner share device family members delegating member account personalized tailored individual even option create childrens accountsextra bonus able mirror content tablet onto samsung smart television definitely consider amazon first foremost making future tablet purchases maintains charge good deal time alleviating need near outlet enjoy using charge evening use several hours next day sometimes two days one ever create tablet considerate ownerenduser,5.0,True
love read tablet makes easy carry entire library everywhere also become addicted free underground games,5.0,True
bought model use addition current year old kindle fire hd inch model far pleased quality unit slightly larger screen makes watching movies much better didnt want larger screen yet,5.0,True
purchased black friday could pass price tablet works great basic internet needs great shopping amazon purchase another android tablet look something little power since tablet slows multitasking,5.0,False
bought son hes years old could play basic toddler games found tablet extremely useful school large screen super long battery life im waiting surface pro tablet got cheap making second guess paying much basic lecture taking notes watching netflix hulu kid games cant beat,5.0,True
best tablet price use everyday watch youtube videos,5.0,True
great purchase granddaughter christmas,5.0,True
tablet perfect anything could want tablet,5.0,True
grandmother enjoys tablet use reader,4.0,True
great item great price wife loves wont put,5.0,True
great black friday deal mediocre tablet android os though,5.0,True
wanted tablet cheap price item fit bill bought black friday made price even better screen looks good performance apps used far met expectations mainly used surfing web youtube netflix device handles ease overall satisfied device,5.0,True
works well issues reboots system hangs good size big small screen good reading battery life good ive bought books amazon mostly sideloaded books library onto gb micro sd card,5.0,True
though got cheap price black friday fire great bad camera dim screen resolution prosinstall google play without hasslevery good book reading option,3.0,True
got son loves play games watch movies tube videos use internet help homework also loves books aps great black friday deal gotten one,5.0,True
got great price price matched much faster getting laptop check email,4.0,True
purchased product youngest son loved color size storage great number activities downloaded,5.0,True
looking tablet run remote music server easy chair first tablet bought price ran battery hour amazon product much better battery life image quality nice,5.0,True
product easy use screen size great would recommend anyone,5.0,True
got kid loves amazon free time prime well worth money,5.0,True
best tablet around cheaper much tablets great buy works perfect battery lasts days,5.0,True
likes read books fast cheap way,5.0,True
great buy read emails go web,5.0,True
great christmas gifts kids hours fun games,5.0,True
purchased tablet mostly entertainment enjoy playing games tablet great purpose also plan using reading electronic books,5.0,True
nice quality product east set use,5.0,True
much screen size previously kindles fast charging longer battery life,5.0,True
purchased mom read ebooks great performance screen looks good easy use happy purchase,5.0,True
less expensive last year many features bigger screen,5.0,True
bought wife xmas loves hasnt put,5.0,True
good product video surfing reading however version dropped android support far tell couple apps run old fire fine extremely problematic one one app use everyday doesnt work new fire keep old one around kind inconvenient would recommend seeing app supported fire dropping money,3.0,True
reasonable replacement broken tablet,5.0,True
purchased tablet two year old son easy use surprisingly durable would recommend replacement plan purchasing child,4.0,True
better faster kindle great performance price,5.0,True
love easy operate reasonable price sale,5.0,True
good product onboard storage fill quickly,4.0,True
bought gift dad likes far fast enough apps great reading,4.0,True
works great app store nothing like apple google fortunately install many android apps mobile screen fabulous great roots making reading books fun,4.0,True
love tablet know ipad big tablets need ive weeks ive downloaded videos read books played games ive zero problems far know best video price tablet dont expect look like flat screen tv im trying load many things keep slowing far good browsing internet easy im getting used browser app store amazon price tablet shabby,4.0,True
many things best part apps free amazon underground,5.0,True
works great year old wanted inexpensive tablet himsince pretty rough things far good love freetime app,5.0,True
