reviews.text,reviews.rating,sentiment,reviews.doRecommend
actually gift bought sister big birthday received echo birthday gift friend let tell love itit sleek loud crystal clear love waking asking alexa tell weather forecast news updates music sounds awesome let tell magic echo go italy family thing hubby couldnt take time work went without sad facethe best way show much missed wake favorite song thats right folks would wake husband miles away touch button cell phonehe sent text wow couldnt believe itso enough said go buy one,5.0,positive,True
great screen resolution easy use battery life really good,5.0,positive,True
bought tablet grandson absolutely loves,5.0,positive,True
tablet still would recommend anyone looking tablet,5.0,positive,True
think great people arent fimiliar technology easy understand,5.0,positive,True
love love love echo one kitchen bedroom love getting weather plays favorite music controls smart devices tells best jokes,5.0,positive,True
super good daily use tablet tends freeze,4.0,positive,True
ereader amazing light easy read one hand screen great battery lasts weeks,5.0,positive,True
easy device inlaws tech savvy,5.0,positive,True
know lot ability amazon echo knowif real tutorial available would probably great product,3.0,neutral,
works pretty goodwork properly right internet speed,4.0,positive,True
love versatility echo great music sound much,5.0,positive,True
purchased gift absolutely love great beginners,4.0,positive,True
excelent product cheap great quality love,5.0,positive,True
got echo happy got dot moved smart home bulbs alexa turns lights moving thermostat next,4.0,positive,True
awesome product backlit shows page number easier turn pages,5.0,positive,True
amazon echo fun item entertainment provides lots options games general help like ask jeeves,4.0,positive,True
took place nook taking quite bit adjusting,4.0,positive,True
great tablet price wife perfect size good traveling,5.0,positive,True
setup new echo become new active family member moments coo conversational new weather traffic reports,5.0,positive,True
bought wife loves read always doesnt put great product,5.0,positive,True
amazon fire tv saved buy new tv samsung longer supported hbo go apps amazon fire tv allows watch literally hundreds channels apps free pay easy install easy use,5.0,positive,True
problems amazon tv streams fast clear signal clear picture,5.0,positive,True
easy use many various apps available great reading games would highly recommend easy use tablet beginners children,5.0,positive,True
love fire games pictures great,5.0,positive,True
several one everyone family inexpensive everyone happy,4.0,positive,True
tablet plugged night chargeno powerwhite elephant,1.0,negative,False
satisfied purchaseneeded upgrade original kindle wanted outside usesmall compact,5.0,positive,True
plays music answers questions better cat,5.0,positive,True
brought gift friend loves,4.0,positive,True
much faster easy use media player,5.0,positive,True
loved variety colors available tablet dropped times thankfully still tact exception scratches son loves,4.0,positive,True
must like read tablet easy carry read,5.0,positive,True
fire fantastic tablet economical granddaughter loves,4.0,positive,True
echo nice speaker added bonus able respond questions give sometimes useful information however regards capable serving brain integrated automated home lacks much purchased use philips hue bulbs hoping fire tv although shares software fire logically able work together echo connect control tv far philips hue bulbs turn individual bulbs even group bulbs remember exact phrase name gave cannot dim lights set light scenes cooler options philips hue bulbs capable wound going back using iphone respond voice command hey siri better echo anyway would saved money gone simple bluetooth speaker phone already many things echo difference phone doesnt big range voice pickupi give echo three stars one thing well respond questions like whats weather like feature interesting worth paying nearly,3.0,neutral,
amazon echo white powerful versatile product bestbuy best price available product time purchase,5.0,positive,True
reads like book instead tablet saves book storage space always hand looks good sitting nightstand clutter,5.0,positive,True
happy echo really good device recommend others,4.0,positive,True
going get samsung tablet everything better,5.0,positive,True
beats paying high cable satellite prices,5.0,positive,True
really enjoy echo got echo dot liked much got full size echo originally go echo dot novelty thinking wouldnt really use much turns use time something anyone really needs handy lot fun things really well great voice recognition seldom repeat setting timers reminders alarms easy saying alexa wake alexa tell minutes prime member echo great playing music music library prime music also great playing radio stations using tunein apps morning ill say alexa play wrko listen kim vb radio things echo bad well known uses microsofts bing search engine anything echo search comes back response dont know able tell echo use yahoo google would make five star rating also set alarm reminder reminds device specify one hears example im upstairs bedroom location echo dot say remind call john smith minutes go downstairs kitchen location echo reminder bedroom would nice could alarm reminder set devices echo dot capability full size echo far tell difference full size echo much better sound music said echo dot still sounds great amazing really small device full size echo like listening stereo wellmade devices lot fun useful maybe necessity sure fun conversation piece guests grandkids come around,4.0,positive,True
got case daughters fire solid build good function using fold stand little quirky wasnt looking use anyway sure overall protection hey cheap tablet,4.0,positive,True
love ability make shopping list telling alexa add item shopping list always phone app kids use last something add list forgotten items easiest way find forecast day ask getting computer checking phone really good sound playing amazon music ask song plays,5.0,positive,True
dont pay high cable bill purchase product,5.0,positive,True
great product cost exceeded expectations would recommend anyone wanting carry book collection one device,5.0,positive,True
amazon stick nice easy set upi would recommend,4.0,positive,True
picked portable option playing music garage love battery powered never issue running juice issue mics doesnt respond voice well echo dot wasnt really designed listen alexa command since originally required tap speaker get listen,4.0,positive,True
great device children impressed specs,5.0,positive,True
works,4.0,positive,True
bought amazon fire hd christmas present wife second tablet given past years loves goes wherever goes fire portable easy use saying goes happy wife means happy life wouldnt hesitate recommend fire anyone,5.0,positive,True
love everything tablet would recommend friend,5.0,positive,True
alexa works great music wish didnt need premium spotty use alexa,5.0,positive,True
simple user friendly latest apps amazons prime user content superb,5.0,positive,True
got tablet year old works great even use sometimes good movies well thing dont like many adds cant take unless pay amazon,4.0,positive,True
best product come amazon love echo works well smart hub,5.0,positive,True
like new tablet use reading,4.0,positive,True
got graduation gift husband loves reading absolutely loves loves doesnt glare also built light gets dark,5.0,positive,True
really like product cant wait get additional products controlled,4.0,positive,True
love music interaction also responds quickly accurate information,5.0,positive,True
bought two two children parental controls great easily control access content ability make something educational like read min playing games awesome tablet everything wanted,5.0,positive,True
best electronic purchase long time serves perpose streaming shows watching movies,5.0,positive,True
satisfied purchase grandson loved,5.0,positive,True
easy use durable great material happy,4.0,positive,True
bought like couple weeks ago im already telling fmily get love works perfectly,5.0,positive,True
easy install bought two one tv,5.0,positive,True
prob loved highly recommend easy transport great graphics,5.0,positive,True
pleased tablet fourth one owned,4.0,positive,True
great kids many applications help kids learn easier,5.0,positive,True
love excellent product sound quality liked much bought another one son gift,4.0,positive,True
great upgrade touch screen still perfect ability read outsideset idiot proof quick like two accounts husband uses also long battery life pretty rugged dropped couple timesif love read outside product,5.0,positive,True
lot fun ive explored every function everything ive used works great complaint seeing music full volume pretty much nixes alexas ability hear next command speakers capable next command often turn volume,4.0,positive,True
love alexa amazon echo would highly recommend,5.0,positive,True
kindle oasis light gb memory need wifi read,5.0,positive,True
good kindle money much junk carousel,4.0,positive,True
bought tablet yrs son loves itd perfect size,4.0,positive,True
fire tv great interface fast,5.0,positive,True
bought husband loves easy get information hes one computers magnificent substitute needs,5.0,positive,True
works described still needs improvements languages convenient menu overall one best tv boxes market,4.0,positive,True
every household one great musicdoes much process making home smart works lots smart home devices purchased far must family,5.0,positive,True
new amazon fire tablet surprisingly good especially price performance good size good weight good biggest new feature expandable memory slot something new generation firesthere downside issues however first screen splotchy illumination edge lighting numerous lighthot spots around edge especially bottom menu bar get used compared higher priced tablets annoyingthe software library second biggest issue amazon done decent job adding new software app store nowhere near robust google apple storesthe last issue day warranty keep cost downamazon developed fire tablet sell amazon products tablet seems hit proper balance usability web browsing much better first kindle fire think better browsing ipad app surprised email client easy use opinion lot better native email client ipad windows tabletif build quality good ipad samsung tablet even close pretty good device dont mind dots light around edge,4.0,positive,True
perfect lazy people allows set ur best thermostat turn lights set alarms love,5.0,positive,True
bought one son law using phone internet able get internet lot easier,5.0,positive,True
great price easy surfing web great game playing way enjoy reading new books gb large enough like purchase gifts cards make purchases,5.0,positive,True
good customer service quest get good deal quality gadget,4.0,positive,True
christmas eve went looking ipad gift sold directed amazon fire hd picture quality amazing hence hd watched movie picture better hd tv say would buy tablet ipad dayand cost less fourth price,5.0,positive,True
people go bigger sofisticated ipad samsung good product child pass time someone wanting bells whistles,5.0,positive,True
decided buy mom christmas loves uses daily problem setting someone sucks technology problem tablet nice size,5.0,positive,True
older kindle many options camera apps,5.0,positive,True
intelligent siri however speaker performance lacking used music sonos play bose soundlink much better sound,3.0,neutral,
bought amazon fire tablet walking around saw price time got home set immediately added play store app google bit tricky device nice hold battery average screen nice look kids started using couldnt even get turn play great device even regular price dollars still good purchase concern wish another gig ram totalling instead gb ram enjoy,4.0,positive,True
previous kindle already knew expect getting text clear back lighting makes crisper depending lighting room reading dark put backlight possible read personally hurts eyes bought separate led clip book light use amazon time company prefer buy ebooks,5.0,positive,True
works great sounds great bought gift impressed stereo system really good follows alexa commands,5.0,positive,True
good tablet basic use great traveling,5.0,positive,True
alexa lot fun use every morning get news listen music,5.0,positive,True
excellent toddlers also grow numerous things also nice abke control parent,5.0,positive,True
kid loves really convenient us put educational games,5.0,positive,True
tablets wife poor returned two landed one loved much others price range,5.0,positive,True
exactly needed could make sandwich,5.0,positive,True
bought kids christmas great tablet price,5.0,positive,True
love tablet highly recommended especially toddler whos learning lots games activities learning parental controls find extremely necessary internet today,5.0,positive,True
works great geating one grandson christmas plays sisters well protected drop great learning experience,5.0,positive,True
camera perfect daughter shes yearbook school fell love,5.0,positive,True
could star well jump price bit better sound dot functions sound def better,4.0,positive,True
ok price point heavily advertised manipulate purchase amazon,3.0,neutral,
basic tablet good features everything need great social media youtubenetflix etc much storage space additional storage options like sd card available,4.0,positive,True
bought year old loves make sure buy additional memory card memory small year old play games read books job,5.0,positive,True
really good reading small tablet browse,5.0,positive,True
wonderful love easy watch movies play games read books,5.0,positive,True
love device tell without push buttons phone,5.0,positive,True
got salemight get rid cable company,5.0,positive,True
k ready looks great fast dont waste money stick get one,5.0,positive,True
awesome little device use control zwave lights voice sometimes hard time picking voice awesome,4.0,positive,True
would recomend product anybody kids adults,5.0,positive,True
perfect niece loves going get another one son,5.0,positive,True
bad product amazon offers greats products tablet missing features even basic tablet lack google chrome compatibility made tablet right,1.0,negative,False
give husband gift happy,5.0,positive,True
love good camera perfect surfing web,5.0,positive,True
eco alexa amazing piece technology design sleek unnoticeable,4.0,positive,True
amazon fire tv box best choice money runs smoothly user friendly great user interface gb memory plus allows connect directly modem via ethernet find especially helpful issues wifi many devices home connected wifi issues box,5.0,positive,True
kid love itits excellent one,5.0,positive,True
amazon echo lots fun use smart easy set,5.0,positive,True
bought friend help move ancient laptop simple tablet value product high,4.0,positive,True
god daughter loves next time also get screen protector weeks later small crack,3.0,neutral,
year old daughter loved also year old baby,5.0,positive,True
wanted additional easily portable tablet family omnipresent advertising annoying also easy ignore bucks great way additional ereaderbrowserstreaming gaming device,5.0,positive,True
love tablet toddler built parental controls awesome wish open android market outside amazon apps,4.0,positive,True
young readers dont keep book tablet good young readers,5.0,positive,True
battery doesnt last hours estimate didnt even last hours one day watches video mostly last longer,3.0,neutral,
bought daughter loves reads books plays games,5.0,positive,True
overly impressed system didnt realize buy amazon prime order use functions didnt connect easily phone wouldnt stream music saved iphone download music app load music app wouldnt work way much work added expenses order use wasnt happy returned purchased jbl portable bluetooth speaker,2.0,negative,False
best bang buck thereworks fast easy wallet around easy understand operate product,4.0,positive,True
easy setup confusing screens practical inexpensive,4.0,positive,True
surprised quality product although true doesnt many apps roku still excellent,4.0,positive,True
special easy get online pick store nice service personal gentle,4.0,positive,True
entire family loving echo easy use smart sounds great,5.0,positive,True
gotta love character echos alexa snarky time time depending ask bunch connectivity features home automation even able touch yeti use free music streaming telling play certain genre music fun around lots commands try,4.0,positive,True
much faster firestickwill work amazon echo voice remote works great,5.0,positive,True
used avoid dragging along booksmagazines read bulky heavy dont need download reading material,5.0,positive,True
amazing sound around great product nothing negative far,5.0,positive,True
using kindle many years love ability books reading one device,5.0,positive,True
wife kids love thinking buying another one,5.0,positive,True
gets job done nicely convenient using cell phone larger screen great reading e books catching shows line,4.0,positive,True
future great addition home,5.0,positive,True
bought christmas gift grandson thrilled receive hasnt put im also glad came power cord,5.0,positive,True
older kindle got virus thing one gets hot best buy carry covers,4.0,positive,True
next release includes alexa famous personal assistant add features great value generation another price drop well,4.0,positive,True
good travel easy use long battery power,5.0,positive,True
unlike first kindle tablet gives kinds information advertisements offers first turn could live without overall pleased new tablet many things havent taken time explore hope soon,5.0,positive,True
bought made good christmas gifts,3.0,neutral,
love amazon fire tablets bought tablet kid love cant beat price differently buy later,5.0,positive,True
use table control smart devices home perfect size also convenience everyone home ability us phone,5.0,positive,True
replacement kindle dropped love new features model,4.0,positive,True
able read longer thought light bright enough bright bother someone nearby,5.0,positive,True
powerful book regardless books purchased carry small light unit,5.0,positive,True
bought daughter seems entertained,4.0,positive,True
device met expectations read reviews give try display easy eyes noticeably regular tablet lightweight fits easily purse complaints,5.0,positive,True
easy use great value excellent viewing good color,5.0,positive,True
exceeded expectation easy read books load store ease great saving space avid reader travel many books dont worry space,5.0,positive,True
great product upto mark kids love,5.0,positive,True
fore lived reviews great tablet elementary age grandchildren,5.0,positive,True
year old loves love use unsupervised without worry learning alphabet great tool,5.0,positive,True
son enjoying whole tablet glad quality product bought favorite store,5.0,positive,True
amazon kindle paperwhite boqvzdjm features ppi carta epaper antiglare touch screen optimized fonts builtin backlight makes simple read night,5.0,positive,True
moment set box problems restart time time small computer speak,5.0,positive,True
purchased fire tablet temporarily replace ipad lg tablet destroyed yearold wont put downhe play favorite games read kindle books watch youtube videos long wifi access holding well good price,5.0,positive,True
rd kindle ive lost previous ones cant imagine reading way,5.0,positive,True
really enjoy product great streaming pretty much everything,5.0,positive,True
works great e reader well tablet son loves,5.0,positive,True
looks like real book amazing doesnt last weeks like says maybe little week dont mind charging electronics really nice especially kindle unlimited would recommend people like read go,5.0,positive,True
got tablet dad old tablet bit dust loves great tablet features,5.0,positive,True
bought daughter loves great product,5.0,positive,True
echo black worth extra money get bette sound quality problem performed superbly another great amazon device,5.0,positive,True
bought fathers day gift brother connected thought awesome gift,5.0,positive,True
perfect house space saver plus various features value adds reading,4.0,positive,True
gave gift grandson loves liked low price,5.0,positive,True
really good tablet price amazed youre amazon app storeaka underground youll love tablet,4.0,positive,True
bought two black friday boys love,4.0,positive,True
bought tablet son digiland tablet bought broke exact day weve tablet almost year still going strong changed case screen protector still works perfectly belonging year old boy,5.0,positive,True
lovely game kids wolf daughter one love,5.0,positive,True
idea someone would need pay hundreds tablet get fire,5.0,positive,True
bought use one application oh difficult get thing continuously work still cant get geek squad program properly download onto device im pretty disappointed,2.0,negative,False
first purchasing amazon product thrilled pricing availabilty,4.0,positive,True
amazing best gift ive bought grand babies far,5.0,positive,True
lighter helium balloon thin bright white screen crisp letters intuitive easy touchscreen page turning gentle squeeze either side book easy menu access ideal size dont know improve ordered kindles origami cover,5.0,positive,True
slow limited application battery doesnt last long download speed less expected,2.0,negative,False
love reading paperwhite battery lasts weeks light enough carry purse dont want carry kindle devices,5.0,positive,True
first version cant wait see son face gets christmas,4.0,positive,True
pleased purchase wouldve definitely recommend,4.0,positive,True
deal holidays must buy,5.0,positive,True
much better fire stick faster memory never lags,5.0,positive,True
cant beat price going gets job done,4.0,positive,True
avid book reader always loved actual book reluctant get kindle first however surprise light weight thus easier hold traditional book easily download new books click button daily monthly deals take advantage fraction cost regular book viewing experience superb change fonts size increase decrease background lighting making easy read light dont know word automatically look definition add highlights notes plus carry entire library ever go actually read way ever extremely impressed device exceeded expectations highly recommend anyone,5.0,positive,True
im lot fun echo learning lot skills,5.0,positive,True
purchased supplement larger tablet perfect size smaller bag,5.0,positive,True
best streaming box market hands bar none,5.0,positive,True
great money wont let use spotify,4.0,positive,True
helps keep son entertained long rides pretty indestructible,5.0,positive,True
brought grandmother christmas gift wanted ipad thought shed never figure use one bought beginners tablet loves,5.0,positive,True
received tablet gift love much bought one husband,5.0,positive,True
alexa works pretty well home parties price isnt bad get,5.0,positive,True
easy use huge selection books recomend,5.0,positive,True
granddaughter thankful pinks favorite color shes amazed everything,5.0,positive,True
awesome product works pretty much expected especially amazon echo google home,4.0,positive,True
little girl loves tablet keeps engaged entertained comes protective case protects falls handlings kids download apps parental control protected kids accidentally making unnecessary purchases without knowledge great tablet kids,5.0,positive,True
wish optical audio like previous model thats loses star general cool device stream movies etc,4.0,positive,True
bought son christmas perfect son gets play games easy access amazon prime content,5.0,positive,True
keeps busy great tablet always home bored stuck netflix play games homework log work,5.0,positive,True
purchased echo gift wife family loves,5.0,positive,True
got price amazing get yes would liked get ipad im used apple iphone price difference pretty much brainier,5.0,positive,True
small table small price comparable tablet options market userfriendly id hoped prefer samsung google playstore initial set took citing table could locate wifi accessible use devices moment accessibility fire tablet also connect eventually connected ability use tablet functions tools etc ease disappointing adult child purchased however great firsttime tablet priced well,3.0,neutral,
granddaughter loves tablet perfect gift year old,5.0,positive,True
ipad read books unfortunately horrible read beach park anywhere outdoors sunlight kindle paperwhite perfect,4.0,positive,True
bought mom mothers day isnt best technology perfect,4.0,positive,True
like movies worth friend help us set works great,4.0,positive,True
makes happy listen kind music station,5.0,positive,True
tablet perfect needs mostly online books,5.0,positive,True
love amazon fire easy use plug play,4.0,positive,True
wasnt sure would like tap must say fun talking alexa like asking tell joke play favorite radio station play music fun continues add apps alexa expands knowledge base,4.0,positive,True
bought package said fast charger find charges normal speed disappointing im pretty sure im anything wrong seems pretty self explanatory,3.0,neutral,
great value premium tablet economic price user friendly,4.0,positive,True
chose regular bluetooth speaker glad alexa really helps hands free get things done sound quality great ive used bathroom issues steam,5.0,positive,True
great value easy set light weight nd portable provide hours entertainment child,4.0,positive,True
bought granddaughter birthday sister already one family thought great tablet,5.0,positive,True
like kindle paper white dont need light read,5.0,positive,True
apple tv user older versions decided go amazon product one supports fox sports thats reason chose using complaints havent yet looked streaming mobile device yet sure possible either way id recommend anyone looking buy one devices,5.0,positive,True
reading kindle books phone years light phone causing eye strain could read long longer problem using kindle concerned lighting works great adjustable low high light settings read long like eye strain use every day,5.0,positive,True
purchased along kids version two year old grandson one stays hose kids version home parents loves,4.0,positive,True
cannot download internet service youre subject limited options things wish could bought,1.0,negative,False
like reader nice small dont like secure wifi system home let set go daughters house set bit alarming secure since way put items putting information compromised make secure easy put protection reason didnt make star product,3.0,neutral,
im happy kindle easy order books works great read gym,5.0,positive,True
bought amazon firebox could finally get rid cable think save cable may buy another one nd tv bit challenging learning operate know love thanks amazon,5.0,positive,True
best kindle farmuch slimmer profile battery last much longer doesnt seem charging issues,5.0,positive,True
point kindle read like paper print product achieves considered higher level products settled best value option product met expectation,5.0,positive,True
mostly good shopping lists listening music getting game scores etc hopefully real search functions future easy setup phone app,3.0,neutral,
complaints works great battery awesome always,5.0,positive,True
really like product first ereader family love really looks like reading real page book backlight really makes difference allows read anywhere even dark without worry fumbling reading light although love feel real book watching bookmark go pages starting get connivence holding instead book also able multiple books going without carrying bunch books great fit coat pocket train commute pretty small figured borrow kindle books library via overdrive save ton money borrowing instead paying kindle books definitely recommend kindle paperwhite product ppi screen really nice price reasonable couldnt find reason buy expensive version called voyage opinion get one,5.0,positive,True
one early versions kindle kindle paperwhite much compact makes really great travel also love selfrecharging capability,5.0,positive,True
reasonable price yet love kids loves itttttt,5.0,positive,True
bought husband gift loves wished would bought next size,4.0,positive,True
amazon account dependent speaker decent sound,3.0,neutral,
bought fire tablet christmas sale season great price replace aging ipad really impressed speed downloads quality video added inexpensive sd card download videos shows great travel,5.0,positive,True
great item book readers happy purchase love read,5.0,positive,True
purchased daughter could read online books perfect size,4.0,positive,True
basically everything adult amazon tablet,4.0,positive,True
best divine streaming movies tv show wifi processor fast,5.0,positive,True
alexa super form info little wait time,5.0,positive,True
absolutely love new kindle light sharp glass touchscreen adaptive front light easy use read,5.0,positive,True
enjoy access alot apps wish sports apps though,4.0,positive,True
tablet really worth every penny paid plus lot daughter loves allows everything wants plus provides durability needed havent purchased case yet pressed either back layer good grip holds securely slipping access school work load videos musically video chat friends,5.0,positive,True
ive come using roku also nexus player amazon fire tv blows doors like newer roku cant beat price features one definitely recommend one,5.0,positive,True
easy setup fun kids alexa even help homework,5.0,positive,True
bought son college class books online wanted tablet read course books versus tote around laptop time uses almost exclusively loves small light option carrying laptop time,5.0,positive,True
whole family likes talking alexa provides lots tips answers songs etc course gets much better train download skills great product,5.0,positive,True
good loud sound good speaker convenient voice commands take outside house,4.0,positive,True
gave christmas gift loves pay ship though,5.0,positive,True
purchased place paying sky high cable prices channels use tv roku smart tv found still needed gain access stations pleased purchase,5.0,positive,True
easy use great multiple uses low price truly enjoy use day desktop computer,5.0,positive,True
got black friday since ive noticed battery life last long charge least day first thought may faulty tablet looked amazons website fire battery life hoursno wonderthe size fire though small enough take go waiting pass time also bring gym watch movies read im treadmill stationary bikei use fire different things mainly play apps stream videos amazon prime functions theres little animation play games isnt frequenti read several books fire must say prefer read nook hd print fire little bit fuzzy crisp nooksince fire amazon locked work amazon approved apps mentioned earlier nook well able download kindle app read books purchased amazon nook fire however able download nook app read books purchased nookoverall price paid bad one tablets gets dropped wouldnt get headache,4.0,positive,True
great wish need button work otherwise love,5.0,positive,True
love echo son one since first came frankly impressed didnt think would use love technical stuff good sale decided try thought didnt like could take back well surprised ahead buying already set amazon prime music playlist library also went pandora created playlists stations saved lot time set simple problems find use news briefing every morning whats calendar day specific day playing music lot whereas ipod usually dont unless company also adding shopping list google calendar use time would say negatives volume higher doesnt always hear command another learning curve commands hard remember exactly wants say task right writing index card skills cant seem remember mindfullness prime plays quiet meditation music tell playlist location amazon prime pandora dont say exact playlist name made cant find easily overall love looked buying echo dot place bedroom disappointed sold discontinued hint bringing something else similar liked fact plug internal battery lasts years wanted able take vacation pack suitcase tap charger unit bulky excellent reviews dot great reviews,5.0,positive,True
easy fast never thought fast got everything need,5.0,positive,True
bought tablet youngest son last family get kindle fire one loves quality tablet great price know experience daily use last long time love,5.0,positive,True
bought gift seemed like price nice size,5.0,positive,True
bought tablet dad tech savvy ever great tablet beginner,5.0,positive,True
great streaming movies amazon easy set would defiantly recommend product,5.0,positive,True
better tablets price point fire hd outstanding,5.0,positive,True
tablet great year old son run easily reset first recieved bit worked great plays lots games uses audio books battery life good well charges fast,4.0,positive,True
purchased product eye simply trying tablet become product use every day get used amazon app store different google play store though still androidbased tablet fast user experience satisfying purchased gb model extra storage space great tablet,5.0,positive,True
kindle great tool especially money fast processing great screen clarity highly recommended,5.0,positive,True
go shopping online also good functionality dealing kids gives admin ability limit kids see,5.0,positive,True
absolutely love alexa wakeup name echo tells funny fact every morning say alexa good morning tell play favorite wakeup songgood morning starshine followed local weather morning news get free music day long amazon prime always hear chuck norris joke sound quality amazing comparable bose system perfect last party get updates time new stuff alexa love echo find endlessly fascinating,5.0,positive,True
dont support google son could view grade,3.0,neutral,
would known wonderful read wouldnt purchased ipad love read whenever wherever youre reader best ereader,5.0,positive,True
third kindle one excellent recent purchase paperwhite built light really enjoy reading especially dark places,5.0,positive,True
wonderful tablet year old son able set reading achievements must complete play games watch videos like secure adjust setting find appropriate child,5.0,positive,True
since wasnt familiar tablets little trouble navigating help section big help well staff tablet exacting wanted needed like case bought go,5.0,positive,True
kids enjoy reading watching videos good color,4.0,positive,True
good using vivant also good want need know something like weather,4.0,positive,True
setting easy issues watching set,5.0,positive,True
bought fire kindle get good reads amazon tablet great apps facebook internet search games various apps amazon like yahoo mail online banking appect ideal readers would like simple tablet would recommend getting case purchased bought fire kindle nice graphics user friendly price,5.0,positive,True
like kindle light easy sue battery life good,3.0,neutral,
love themone best gifts received uswe going purchase,5.0,positive,True
truly want ereader kindle gets job done glare easy use,5.0,positive,True
got mom christmas every time visit shows something else im jealous hope get one,5.0,positive,True
worked expected stock picking fast,4.0,positive,True
awesome little tablet price niece loves lets watch netflix instead taking tv,5.0,positive,True
recently purchased item various reasons far meets expectations however issue voice volume video flying hours,4.0,positive,True
best performance get plug n play mods,5.0,positive,True
avid reader preference towards hardbacks skeptical ereaders also travel extensively carrying hardbacks enough lighting read challange husband purchased kindle paperwhite christmas upon opening wasnt sure ready go digital however love ive already completed books paperwhite backlit easy hold fits palm hand one handed reading easy believer,5.0,positive,True
great ereader awesome battery life great traveling hanging home awesome thousands books available feel like book prices ereaders rising thats unfortunate two home love though,5.0,positive,True
product works works slow compared apple android phonestablets like stated summary pay get major issues thus far,3.0,neutral,
helped cut cord television subscripton bills,4.0,positive,True
ive owned apple tv chromecast favorite highest quality streaming one downside compatible echo dot,4.0,positive,True
year old son bought great downfall old one broke one small drop would recommend protection plan,4.0,positive,True
easy travel easy see darkdim light,5.0,positive,False
good sound quality nice selection skills learn including radio shows,4.0,positive,True
purchased nephew loved cant stop playing,5.0,positive,True
easy use loves green case durable great gift,5.0,positive,True
tablet good buy price allows quick easy access internet great product st time user,4.0,positive,True
decided add another echo household purchase currently echos dots since echo price swayed go route instead another dot bluetooth speaker intercom drop feature expands communication household,4.0,positive,True
loving new kindle wanted one finally bought one even though cheapest one exceeded expectations love glare,4.0,positive,True
already saved money purchasing getting rid direct tv monthly charges,5.0,positive,True
echo gets news morning operates thermostat change wake word computer play startrek captain,5.0,positive,True
tablet great economy tablet personal use reading watching movies great gift idea well,4.0,positive,True
great price great product great sound small system,5.0,positive,True
