reviews.text,reviews.rating,sentiment,reviews.doRecommend
firebox best streaming device excellent product best app capability easy use,5.0,positive,True
im one reviewing usually oh love thing lightweight amazing love crisp bright,5.0,positive,True
amazon fire pad great deal price work great responsive exactly want like netflix google game doesnt suck,5.0,positive,True
smartphone work job fire read instruction worksheet useful tool connecting friend colleague inch right size holding hand carrying give information beat printing everything carrying around large laptop,5.0,positive,True
highly recommend fast reliable signal great quality convient,5.0,positive,True
great response time image quality fantastic easy navigate,5.0,positive,True
lightweight good screen quality bit slow good purchase,4.0,positive,True
would recommend tablet older child maybe,3.0,neutral,
bought granddaughter absolutely loved,5.0,positive,True
unable download instagram app stink,3.0,neutral,
tablet even introduction tablet full tablet mobile access everything wifi download item become available offline even add gb memory card never run offline thing enjoythe family sharing feature excellent particularly one allows created child profile kid protected learn play based criterion,5.0,positive,True
tablet best used personal reading clear like book dont sahre,5.0,positive,True
learning curve get hang okay,5.0,positive,False
enjoying paperwhite like buying book reading free book amazon prime membership benefit also bout book pdf format able read paperwhite also,4.0,positive,True
yeeeeaaaahhhhh kid love ithanks,5.0,positive,True
first ereader ever novice like kindle large part life way printed book always compact weighs little great feature touchscreen adjustable brightness easy navigate download book battery really last long time advertised wish public library book kindle format better interface ebooks,5.0,positive,True
great gift kid read surf play music,5.0,positive,True
great value price point tablet,4.0,positive,True
price great quick search,5.0,positive,True
wow bought black friday quality construction fantastic display really good bought rca tablet walmart absolutely blow away display good apps good maybe little slow laptop fast speed satisfactory definitely recommend id buy full price still impressed,5.0,positive,True
didnt think would use much due lack use siri however understands thing ask fun family also doesnt responds question discreetly thing kid could ask example santa real answer never met,5.0,positive,True
best e reader owned yet definitely worth money,5.0,positive,True
going get samsung tablet everything better,5.0,positive,True
utilize echo every morning get ready work alexa help decide wear weather update best route take work playing fav tune,5.0,positive,True
purchased kindle fire replacement nook tablet hope would reasonable replacement essentially primarily using ereader surpassed expectation much reasonable cost,5.0,positive,True
bit confusing compared older style big fan version wish could take thing using like could older version great priceit awesome parental control though,3.0,neutral,
surprised learned capability device husband access desktop thing couldnt device,5.0,positive,True
echo pretty fun use definitely useful paired smart home device control lifx bulb ecobee smart thermostat voice command shes also programmed funny line fun chat see say,5.0,positive,True
perfect gift neice nephew bought two,5.0,positive,True
bought gift mom simple enough get done need,4.0,positive,True
great table gift easy use lot aplication recommend,5.0,positive,True
kindle decent screen image quality feature miss lack capability tablet automatically shut close case understandable price point,4.0,positive,True
great tablet keep daughter busy happyshe much,4.0,positive,True
latest software update included hand free mode everything stationary echo speaker fully portable personally dont want device record everything say time use tap mode sound quality good speaker size especially great choice mobile hotspot unlimited data bring alexa go,5.0,positive,True
daughter love tabletshe take everywhere,5.0,positive,True
play music news weather traffic reportsalso operates smart device light tv garage door etc,4.0,positive,True
bought whim really enjoyed using first wasnt sure would use time found many us way enjoy im still learning able interact item didnt think could interact first see go long run,4.0,positive,True
bought fire tv box week ago help save cost cable tv far great alternative internet subscribe amazon prime around year subscribe two apps month get espn channel basketball season archived show cbs fire tv box easy setup use also fire tv app downloaded used control box tablet phone addition fire tv remote thousand tv show movie amazon prime subscription freeone nice feature start movie show dont finish one day go back next day resume left another plus alexa voice activated assistant look tv show movie asking cut cable cost half buy digital antenna get local tv additon fire tv box far love fire tv,5.0,positive,True
great little tablet price right offer clear picture good speed browsing web interface amazon perfect great kid adult plenty fun color choose,4.0,positive,True
purchased father enjoying flexibility ease use,5.0,positive,True
bought knowing would like itluvit,5.0,positive,True
bought gift son wife rhougjt young baby home hand always full would come handy liked idea review search decided wasnt,3.0,neutral,
new kindle may bell whistle previous model great value price durable light addition expandable memory new model work great recommended,5.0,positive,True
purchased gift aunt laptop went outshe happy ability download apps play game recliner even found apps texting good people well versed technology dont require lot storage space love matter,5.0,positive,True
tablet brought fiance christmas return kept freezing also didnt get clash clan game,3.0,neutral,
fire tv box work great looking device stream directv device significantly less competing device offered service liked first one much bought second one,5.0,positive,True
absolutely adore echo always skeptical husband brings home new fancy technology alexa disappointed love music room house able control song volume without touch echo make life soo much better,5.0,positive,True
got daughter th birthday enjoys slot enjoy time limit win win,4.0,positive,True
used constantly look phone check weather simple thing ask echo,5.0,positive,True
got tablet far love way work enlarge print change lighting make easier read thing must amazon account use,5.0,positive,True
battery,3.0,neutral,
love apple product much better siri really great smart home,5.0,positive,True
good tablet price regular price good image quality battery life prime member several year included medium access video audio book great android tablet much google ecosystem available amazon appstore lot option nearly many google play storewould recommend adding microsd storage card also would get better file manager video playback apps several good free option amazon appstore,4.0,positive,True
amazon tablet link amazon prime account watch movie listen music,5.0,positive,True
enjoy using tablet use biking,4.0,positive,True
bought four tablet grandkids christmas already three kindles pleased easy use tablet instead desktop computer great sound graphic,4.0,positive,True
work great reading playing game connects web fast responds well,5.0,positive,True
great need work worth money limited asked form question continually load skill order ask question related topic taxing spending time make say forget hopefully fixed soon really purchased google one oh well,4.0,positive,False
bought daughter elderly friend across street love,5.0,positive,True
way better fire stick load faster plugged straight router,5.0,positive,True
broke screen nd gen fire replacement easy setup much faster older one right size game email social medium,5.0,positive,True
great gift,4.0,positive,True
bought yr old daughter great good playing lot game lock sometimes run little slower wed probably buy something bigger processor,3.0,neutral,
gift grandmother love easy use portable battery last long,5.0,positive,True
husband like refer alexa information husband especially like set morning alarm constantly asking alexa set timer,4.0,positive,True
like hard time figuring thing outdo get talk geek squad free come store get someone help questionswill fee service,4.0,positive,True
great value price add gb card almost unlimited storeage download video audio play offline,4.0,positive,True
really enjoy convenience portability easy read page want,5.0,positive,True
device innovative fun use learning curve use voice command speaker improved though bit deep base lack manual control hope upgrade include feature compatible google overall good product,4.0,positive,True
customer support returned item store,1.0,negative,False
got tablet traveling game reading stuff like didnt need anything fancy work lag game battery life horrible,3.0,neutral,
absolutely love kindle paperwhite glare matter reading lightweight right size take along purse never kindle amazed,5.0,positive,True
like tablet gift bought someone another country,4.0,positive,True
alexa great addition household simple connect easy use use daily keep u informed current event enjoy music connected several devise make house smarter,5.0,positive,True
daughter love kindle fire easy setup parental control,5.0,positive,True
good sound pick voice normal speaking tone,5.0,positive,True
play game put parental control tablet,5.0,positive,True
wish little less easy toddler get apps theyll game show accidentallyor purposly tap around curiosity close app need less sensitivity still great tablet toddler first one broke couldnt tell happened think two press something next trying download apps turned around whole screen completely cracked like someone hit hammer since havent issue new one,4.0,positive,True
year old grandson son love big game call,5.0,positive,True
know expect bought getting home experimenting helpful eight year old love many thing alexa limited imagination love,5.0,positive,True
amazing fun getting technology age connected echo w philip hue light bluetooth speaker work great wifi consistency must take getting used asking nonhuman question,5.0,positive,True
really happy new kindle fact read night use reading lighthighly recommend,4.0,positive,True
love talk another system dont use look remote bad thing echo sometimes understand asking even fun,5.0,positive,True
alexa still lot learn doesnt know enough sport tv listing,5.0,positive,True
easy hold read evening without hurting eye love,5.0,positive,True
good product disappointed use music phone pay app product suck,4.0,positive,True
ive wanting fire since originally came read questionable review kindle basic stuff nothing seemed really discourage really dont know experience unless try got began prime free trial shocked wake morning find charged full year prime one day trial supposed end email contact interested charged card without warning imaginably upset amazon tablet self slightly basic front facing camera slightly better outwards one alexa feature kinda nice fun talk also syncs echo device well buying teenager young adult set parental control password keep unauthorized perchues think tablet ok great recent experience rated star ultimately going make mind decided going purchase device decide right good luck decision,2.0,negative,True
ive tried google home simple ok google syllable long ease voice control use echo simply many compatible device even separate smartthings hub control soubd delivers sufficient standalone use option connect speaker via bluetooth aux useful hear much better google home integration echo dot smart home make experience seamless setup breeze gripe command need exact setup cant say turn light without trigger made unlike google home overall great product home automation voice control,5.0,positive,True
easy use easy setup nice interface would definitely recommend product,5.0,positive,True
great reader tablet replace ipad,5.0,positive,True
light page strain eye reading like light hold,5.0,positive,True
easy use many option apps download kodi compatible,5.0,positive,True
loved tablet fit need fast work perfectly,5.0,positive,True
device requires little effort learn one would expect music better paid music service patient look available apps echo app,4.0,positive,True
tablet really great someone want standard tablet experience nothing flashy get job done,5.0,positive,True
ive kindle fire couple week really enjoying ive impressed processor speed image quality problem playing video music ereader app great lot easytouse feature paired amazon prime order utilize function fully,5.0,positive,True
overall far cry popular ipad nowhere near intuitive easy use less expensive option child learn perfect fit price point perfect first time tablet user though surely need invest memory card expand storage capacity,4.0,positive,True
grandchild home schooled utilize table many learning apps love using make feel grown tablet great leaning tool receiving many benefit,5.0,positive,True
favorite piece technology home right love connects phone play musiclook location track workout find recipe plus constantly update,5.0,positive,True
bought wife love fast convenient,5.0,positive,True
replaced gift past year didnt come expansion slot happy get,5.0,positive,True
love thing alexa help playing music grocery list favs,5.0,positive,True
admit used echo much anytime use really like simply forget use like using timer,5.0,positive,True
gift mother love great price,4.0,positive,True
knew buying everything described love kindle best part fit perfect palm hand convenient use,5.0,positive,True
second amazon fire purchase wanted one home one keep traveling work negotiate fit basic daily need,4.0,positive,True
love really nice product expensive,4.0,positive,True
bought way easily read go im disappointed really big easily carry around ive discovered easy use reading purpose,4.0,positive,False
awesome price great tabletmain use reading comic internet browsing nothing better would ask forgood screeneasy set,5.0,positive,True
little concerned small size perfect back lighting great darker plus work well sun light well touch page turn easy,5.0,positive,True
give amazing tablet front rear facing camera nice interface fairly snappy performance durability buck cant imagine buying kid primary tablet techie adult meansi f looking great entry level tablet thing people want little tablet definitely delivers value,5.0,positive,True
amazon fire tv saved buy new tv samsung longer supported hbo go apps amazon fire tv allows watch literally hundred channel apps free pay easy install easy use,5.0,positive,True
work great plus look youtube video see feature available,5.0,positive,True
super easy use small enough carry purse,4.0,positive,True
avid reader must,5.0,positive,True
choose store pick new york work great love kindle voyage,5.0,positive,True
looking right e reader wife birthday love read bed fall sleep old one light would struggle try read dark use whatever little beam light could able read slept one even problem screen light easily read sound sleep,4.0,positive,True
absolutely worth money,5.0,positive,True
kindle fire great bought one husband old kindle quite working bought one daughter replace ipod lost love love add extra storage mini sd card something can not apple device,4.0,positive,True
like choose get book kindle borrow book local library,5.0,positive,True
trouble registering kindle fire plane kindle like fire lot better user friendly even first time user,4.0,positive,True
great tablet beginner get used technology,5.0,positive,True
concerned would difficult set turned easy set use,5.0,positive,True
first introduced product friend ever since seen capable bought one two referred device several family member along friend agreed impressive,5.0,positive,True
bought christmas gift wife avid reader previously bn nook stopped working much nicer love would recommend someone like read traveling simply home,5.0,positive,True
dont high expectation good deal price,4.0,positive,True
actually worth money purchase youre wanting watch netflix hulu youtube etc everything download android device even download game play kid adult alike easy set use need set amazon account dont one make one use bought one mother law best spent regret purchase,5.0,positive,True
use three house ive bought half dozen gift im planning roadtrip across country alexa given complete weather stop,5.0,positive,True
able watch amazon prime smart tv easy install breeze work,5.0,positive,True
ok good beginner user kid love could play game,3.0,neutral,
bought yr old grandson great buy price love new tablet,5.0,positive,True
bought two echo one home one work nice say alexa play music alexa local weather forecast highly recommend wonderful entertainment item also convenient take trip staying wifi easy pac,5.0,positive,True
freezing still work good buy another one bedroom,5.0,positive,True
good tablet price everything need except take picture thats bought,4.0,positive,True
enjoy performance size television purchased satisfied product,5.0,positive,True
amazon echo wonderful piece technology tell joke play music play game practical us well control wifi enabled household device like turning light adjusting ac equipment still pretty pricey good entertainment bad part cant push audio bluetooth speaker think dot echo,5.0,positive,True
love great wanted,5.0,positive,True
product easy use straight box,4.0,positive,True
got rid cable trust believe worth,4.0,positive,True
still learning use would love get local channel,4.0,positive,True
great addition reading go shopping online compact good battery life,5.0,positive,True
daughter love tablet cant keep hand,5.0,positive,True
bought mom year old love make much reading material available format easy use accessible good job kindle,5.0,positive,True
good tablet come lot free apps fantastic warranty,4.0,positive,True
echo fun friendly certainly help kid math always fun ask random question try new skill one kid room great music listening,5.0,positive,True
fire tvstick amazon amazing product totally reinvented way get premium moviestv channel without paying premium price replacing cable box productthe saving incredible,5.0,positive,True
wanted upgrade kindle fire first edition one really nice graphic superb speed loading dont know yet else havent explored thoroughly like mini lap top camera take clear picture wireless connection internet,5.0,positive,True
one best gadget bought feel one reading real book battery life last almost month moderate reading,5.0,positive,True
kindle replaces previous model size great fit easily purse gym bag touch screen nice improvement earlier model backlit screen good bright enough bright overall pleased,5.0,positive,True
integration home automation transparent hope device offered wayskill connect system could running amazongoogleapplemicrosoft themamazon per researched best time purchase really make simple delivers promise,4.0,positive,True
use everyday question whats timeweatheraddtoo shop list check calendar kind little thing without open computer lying bed,5.0,positive,True
want easy way read book check social medium item around steal,5.0,positive,True
speaker great microphone good overall work needed,5.0,positive,True
purchased two grandchild share happy make really happy need buy head phone next,5.0,positive,True
got one enjoy much read book play game great traveling complaint,5.0,positive,True
easy use able access music looking forward getting lighting package,4.0,positive,True
satisfied far look forward update would purchase,4.0,positive,True
got helpful calling name top anything ask answer like always someone talk love amazon echo,5.0,positive,True
daughter six year old enjoying,5.0,positive,True
highly recommended battery good lot thing like expensive tablet cheaper price,5.0,positive,True
brought grandson enjoying tablet,4.0,positive,True
amazing reading kindle main concern camera amazing downloding pretty quick battery even last long great quality price great gift idea,4.0,positive,True
purchase echo vivint system sale person pushed product stating would enhance vivint capability really soits nice gadget music putting together shopping list todo list really something needed addition enough apps work,2.0,negative,False
good basic tablet bought year old complaint doesnt one popular game despicable son love still use mine plz update software amazon,3.0,neutral,
download game without using phone plan data game boy enjoy,5.0,positive,True
best device stream tv apps available cost firetv stick recommend quicker processor expandable memory,5.0,positive,True
kindle fire much better previous kindle work well bright day light user friendly access book downloading streamlined device id hesitate buy gift,4.0,positive,True
wanted upgrade rd gen kindle keyboard one backlight paper white great device read backlight improved screen resolution make big difference there software feature id like amazon add nothing inhibits using kindle youve thinking upgrading jumping kindle first time id highly recommend paper white,4.0,positive,True
ordered dec th got order christmas supposed delivered dec th,1.0,negative,False
practically disposable everything want need tablet,5.0,positive,True
new osmo mobile amazing quality way turn match going far advancement technology definitely recommended,5.0,positive,True
work well also great reading recommend star,4.0,positive,True
ask weather headline sport update listening favorite playlist make coffee taste better friend,5.0,positive,True
wish knew use potential capable much,4.0,positive,True
good starter tablet bad run amazon o,4.0,positive,True
best electronic item house great purchase good,5.0,positive,True
everything worked fine product would buy,4.0,positive,True
tablet great easy use great way keep kid entertain,4.0,positive,True
wanted buy long time ago price bought best buy good course quality good,5.0,positive,True
highest quality tablet price almost cant beat especially amazon prime member,4.0,positive,True
good speaker ive learned really like alexa shes speaker lot option carry around use outside deck,5.0,positive,True
perfect gift paired amazon gift card book case,5.0,positive,True
fire tv changed life unit awesome absolutely love,5.0,positive,True
love reading conveniet,5.0,positive,True
permanent offer game nuisance reading experience good,4.0,positive,True
lightweight easy read indoor outdoors light full light,5.0,positive,True
fire tv nice upgrade fire stick fast expandable storage best tv high resolution,5.0,positive,True
love everything item watch whatever whenever particularly kodi good bye good riddance cable,5.0,positive,True
great tab price looking inexpensive good tab serve purpose,4.0,positive,True
easy use fumbling lite switch dark,5.0,positive,True
bought son broke ipad glad unlimited game book made huge difference desire read love love tablet,5.0,positive,True
enjoy connect fast small needed something put purse,5.0,positive,True
advertise zero lag time still need buffer,4.0,positive,True
pro hd quality low price work really well amazon account access multiple amazon feature extreme ease couldnt happier ipads extremely versatile came big price tablet love,5.0,positive,True
love kindle fire easy use amazon customer service amazing,5.0,positive,True
use amazon service prime kindle music video alexa best companion access service seamlessly tablet also great featuresexpansion performance,5.0,positive,True
incredible range clear sound bought sleeve hung backyard party amazing clear sound,5.0,positive,True
got window tablet father law quickly realized window good choice someone already comfortable window feature tablet friendly tablet hand easy learning curve father law became comfortable feature couple hour would definitely recommend gift,5.0,positive,True
screen sharp easy use letter crisp distinctive back light work well dark light problem reading night dark day outside direct sunlight new page press button perfectly placed convenient light weight small enough hold one hand whole reading charge every weeksi would recommend edition anyone enjoys reading,5.0,positive,True
easy set work insteon system turn light fun use new weather update play amazon prime music composer andor artist,5.0,positive,True
reluctant replace previous kindle fire wasnt sure would like well pleased say im loving,5.0,positive,True
although faster stick smart tv apps still need stability better connection everyday use mot worth expensive still ok,3.0,neutral,
perfect size go apps arent compatible due amazon tablet v android overall good purchase,5.0,positive,True
employee helpful always enjoy shopping best buy,4.0,positive,True
got granddaughter birthday loved granddaughter wanted one brought another one loved,5.0,positive,True
loved first kindle upgrade new one practically seamless,5.0,positive,True
like get price little tricky kid figure help lot,3.0,neutral,
fabulous little tablet money light zippy limitation available apps external hardware want something access email read book stream video way goi needed early december birthday present older lady whose old tablet quit working love italso best buy came amazon already product even december,5.0,positive,True
bought son product time take easily electronics touch screen device mother bought subscription abc mouse learning program needed kid friendly device use first skeptical spending extra kid fire thought mainly case thought cheap silicon tablet arrived mail surprised find enclosure thick heavy duty type foam provides good enclosure kid hang onto well solid defender drop booted quickly enter amazon information ability set account adult child accountthe child account access app store anything dont want get hold ofyou set time limit account desireyou allow disallow application want accountit come year subscription amazon free time unlimited interpreted basically prime kid allows access apps game much wantthe kid user interface extremely slim easy navigate able one click apps book game want use also highlight recently used apps carousel topoverall im happy purchase tablet allows use modern technology learn grow without worrying normal danger internet hold youre careful,5.0,positive,True
recently upgraded tablet everything wanted highly recommend,5.0,positive,True
recommend device friend endless capability streaming favorite movie playing video game like grand theft auto buy add kodi youre welcome,5.0,positive,True
gift wife hit best buy minute great experience,5.0,positive,True
small enough carry love page turn touch screen love lit background,5.0,positive,True
bought wemo wifi switch plugged tv great voice remote turning onoff tv,5.0,positive,True
bought get rid cable tv work great easy set able get working time,5.0,positive,True
bought wife handy read exercising,5.0,positive,True
purchased tablet week ago gift brother restarted ten time shut someone different occasion getting money back getting samsung,2.0,negative,False
easy set k ready great picture wifi connectivity,5.0,positive,True
best investment made buy one every tv house,5.0,positive,True
im thinking get smarter use provides good info daily stuff best route work traffic etc good follow question wife like great get home,4.0,positive,True
best divine streaming movie tv show wifi processor fast,5.0,positive,True
kindles past nothing new loved one screen big reading book lot easier first kindle screen mostly use reading able navigate internet great want look something book real quick want search review book purchasing love,5.0,positive,True
decent screen kinda slow response touch screen,3.0,neutral,
purchased sale son use tablet watch movie play game read book browse internet great price paid youre fan amazon automatically apps servicesthe downside able use google apps add appear amazon turn device,4.0,positive,True
purchase primarily husband technologychallenged listen music want want still experimenting asking question careful talking alexa respond conversation,5.0,positive,True
bought mom work perfectly facebook game email,4.0,positive,True
love size welllit screen word appear crisp easy read,5.0,positive,True
purchased item yr old daughter like cant get picture apps show,3.0,neutral,
even better firesticks k tv cant go wrong,5.0,positive,True
working product price advertised great,4.0,positive,True
great reading lag time loading video little bit longer ipad,3.0,neutral,
work fine tablet thing well,5.0,positive,True
awesome purchase im constantly asking play different music sending message set timer even use speaker ipad even learned music like make suggestion plan purchasing addition light switch utilize even,5.0,positive,True
like tablet fast enough daughter would like without ad constant buy buy buy taste get using free underground apps nice preference plain jane android control like limit kid account able setup doesnt change setting,4.0,positive,True
bought tablet replace another one died work purpose one thing note amazon device google play service installed apps come amazon market,4.0,positive,True
purchased christmas sale work great need liked much bought two family,4.0,positive,True
great gadget adultskids internet question answer alarm clock timer play music etc controlling home automation,4.0,positive,True
excellent kid great warranty cool feature,4.0,positive,True
echo fun play doesnt understand lot question skill dont work dont use correct wording app need work bc look skill find right question cant search skill enabled im sure get better time fun around,4.0,positive,True
bought gift kid love amazon fire side internal memory speaker pretty weak area memory speaker definitely could use upgrading fortunately device slot memory card connect bluetooth speaker get maximum use device need amazon prime compared netflix prime competitive,4.0,positive,False
havent able use full potential cant wait,5.0,positive,True
brought son exactly want,5.0,positive,True
brought gift uncle decent tab price,3.0,neutral,
bought child vision issue love read borrow library book return automatically appreciate screen lighting gentle tablet item grateful game option wish could control ad better thats complaint advertised book plain wrong young one sample picture got ta keep eye,4.0,positive,True
amazing little thing willy continue buy,5.0,positive,True
kid love like tank really easy use great product,5.0,positive,True
far havent trouble tablet thing suck cant text anyone who app let know thank,4.0,positive,True
amazing design product reading many review seeing full potential product completely pleased function capability,5.0,positive,True
bought year old grandmother wanted able play game read book library aunt life help use perfect type user playing would consider anyone hardcore user want latest greatest tech tech saavy fire tablet advertised,4.0,positive,True
cost great feature enough year old daughter im glad get ipad great step leappad,4.0,positive,True
tablet great anyone us basicsload time bit slow browsing web streaming video loaded play without buffering long got internet speed good enough tablet good size great picture downloaded video music price make pretty good gift someone wanting first tablet,5.0,positive,True
bought original paper white loved even though tremendous difference two unit found lighter adjusts light much better really worth price difference questionable would recommend product avid reader,5.0,positive,True
use amazon prime love convenience adding apps like netflix sling need dish outside house enjoy tv,5.0,positive,True
bought kid parental control good lacking area overall looking way limit control tablet see web history etc,4.0,positive,True
everything need box tie amazon prime need,4.0,positive,True
happy fire tv issue like another way use alexa,5.0,positive,True
good product young child play without breaking,4.0,positive,True
easy teach mom work camera good,5.0,positive,True
fire tv impressive device ton apps available enough content everyone recently cut cord comcast mostly view prime content load play quickly remote super easy use great product great value,4.0,positive,True
easy set upeasy navigate clear picture,4.0,positive,True
love tablet great price everything iwas looking tablet,4.0,positive,True
older version kindle ereader allowed download book go felt like something missing several upgrade later got gift think basically includes everything missing lightweight compact easily slip purse use one hand backlighting doesnt disturb sleeping husband create light bright distracting right amount light needed read different ligths selfadjust reading dark room reading outside bright day,5.0,positive,True
cool able give voice instruction get news music via voice work great,4.0,positive,True
inexpensive alternative tablet larger phone memory small gb expanded micro sd card plus slowed constant window downloads,4.0,positive,True
loved kindle even better gift important friend unable hold book open say easy read even lighter wonderful,5.0,positive,True
gave christmas gift dont know good work anything,4.0,positive,False
affordable price awesome quality love amazon fire tablet,5.0,positive,True
bought gift mom send love,4.0,positive,True
amazing low cost tablet good basic apps browsing ad lock screen unless pay get rid lock screen interfere functionality cost cant go wrong,5.0,positive,True
bought easier reading meet expectation great display fidelity,4.0,positive,True
great price wish amazon app store apps overall good especially price,4.0,positive,True
child love los different thing learn,4.0,positive,True
tablet still would recommend anyone looking tablet,5.0,positive,True
great tablet pricereally major complaint,5.0,positive,True
tablet good price aware adware can not removed unless pay amazon tablet available similar price without adware interested amazon product service looking android tablet disappointed tablet android operating system available due amazon operating system overriding screen resolution average amazon user good tablet otherwise look elsewhere,3.0,neutral,
student enjoy using product learning,5.0,positive,True
simple setup use would love see google integration,4.0,positive,True
clarity audio coming amazon echo truly incredible bought one friend mine let barrow got lasik surgery needed story keep busy going crazy different skill learn provide remember command said skill great news quick weather update area etc fantastic product,5.0,positive,True
